h3_05,pop_total,pop_density_per_km2,total_idps_district,num_idp_hh_displaced_to_dtm_12m,exposure_drought_pct,exposure_extreme_heat_pct,exposure_flooding_pct,conflict_incidents,conflict_fatalities,num_idp_hh_displaced_from_dtm_12m,ipc3_pct,pct_wasted,pct_stunted_mod_sev,prim_school_walk_30m_plus_pct,sec_school_walk_30m_plus_pct,num_schools_per_1000_children,bemonc_walk_60m_plus_pct,num_health_facilities_per_10000
85520b63fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b67fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b6bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b6ffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b73fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b77fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b7bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b83fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b87fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b8bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b8ffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b93fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b97fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b9bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520ba3fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520ba7fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520babfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520baffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520bb3fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520bb7fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520bbbfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520bc3fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520bc7fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520bcbfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520bcffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520bd3fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520bd7fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520bdbfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520e67fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520e6bfffffff,68100.40424290704,8.574222421128802,4416.178991918445,0.0,0.0,0.0,0.031432607175857795,150.62315319557507,7.8122251192311705,13.81222511923117,0.3120305627980779,0.3136353335452,0.408542348108079,0.49571613863269615,0.7124061125596155,2.129083116057662,1.0,4.06922295961918
85520e6ffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85521803fffffff,56594.586023125885,209.57873641401153,8195.65009663037,0.0,0.00012878117662438478,0.016080928442115682,0.13582849657758142,20.884096905488352,1.2784234856162975,3.5941413418724966,0.38008422650379836,0.13303185621601948,0.5744218471066249,0.10365337269468629,0.5466456100923404,1.7098640892941757,1.0,2.423401131430271
85521807fffffff,57980.75411341968,263.1692144895793,11109.918174322638,0.0,0.0,0.0,0.03588415219208968,20.801582657431865,0.8484230753835391,7.6197933895349275,0.34814456094381946,0.07700000000000001,0.577,0.06787384967743375,0.4054323326653284,1.8104136484114184,1.0,2.1869804560803106
8552180bfffffff,100000.05342858724,472.98860259439846,5341.211370444652,0.0,0.0,0.00449628763655611,0.5147101218779995,26.785909570466057,0.26910984359145734,1.9650895754575604,0.39356112935979565,0.403,0.562,0.019522473128955074,0.1989378703688033,1.5167027204353463,1.0,2.1299524986765648
8552180ffffffff,53272.056354970526,309.3558821064659,9705.661545688394,0.0,0.0,0.0,0.23400261060826483,16.416323016994777,3.8724559578451356,4.493038541456041,0.3263981910004608,0.14442743841630115,0.5738975105023174,0.00885484255983227,0.4876601795320073,1.5076877017323354,1.0,1.8816893022978207
85521813fffffff,58226.21398719613,94.68879459227999,11768.177281607066,0.0,0.02664002644945643,0.13487567297507874,0.6832019886616508,45.672316414675386,5.449709247754151,0.5502314902586765,0.3365469084445561,0.2014227497466376,0.5712750268521486,0.25529944945253336,0.6724226106390878,1.3674584110456984,1.0,1.7326121710582285
85521817fffffff,53614.221830832765,107.51040928345843,8843.287265347557,0.0,0.0,0.0,0.08329327187282912,17.027834309590407,1.9443313808191844,6.083502928771225,0.39860828452047964,0.077,0.577,0.15693822594505513,0.8097013054515491,1.535268167369631,1.0,2.260298694548451
8552181bfffffff,91195.0346237464,353.828583578115,6248.382489961839,0.0,0.02249631102339955,0.24742551239191507,0.27746909625051785,26.62695369519467,0.0,0.5935342190573177,0.3507083009687763,0.403,0.562,0.14662624684015468,0.4118171744972339,1.162862690457649,1.0,1.4951530537836832
85521823fffffff,72065.77799546518,178.61300803006708,11452.305277792535,0.0,0.0,0.0,0.0,22.053479638341425,3.8327671740931164,2.5551781160620775,0.35,0.07699999999999999,0.577,0.006387945290155194,0.2958191793523279,2.466591762616633,1.0,4.060169847772065
85521827fffffff,52652.407511216,135.8349646912455,7857.278075965977,0.0,0.002298636599479859,0.0,0.07696126426237343,21.829808300655493,1.7614904213833131,0.8522485925673222,0.32257534117035885,0.077,0.577,0.030180237559978902,0.25080090599003546,2.0127887052932496,1.0,3.589909612448902
8552182bfffffff,69548.03113254355,262.29076518355174,9906.630602868689,0.0,0.18182666277412338,0.0,0.22479806795803214,17.628056416595086,1.5684143081585478,1.8489262897297674,0.368403005265695,0.077,0.577,0.006670483628338712,0.28998661440010287,1.6893203638034664,1.0,3.495202243240956
8552182ffffffff,82187.42418429305,259.85895441688206,12320.211227893022,0.0,0.34908369114720406,0.0,0.05721750288310105,24.528544284930234,3.29152516384671,5.909837498598767,0.3487175707891488,0.07700000000000001,0.577,0.03349651565916582,0.37916023196708387,1.4629533336450296,1.0,2.708607327959537
85521833fffffff,45322.96772370607,93.95729501635716,7686.994213018048,0.0,0.03861459044764845,0.0,0.021060184099476437,16.718979000741715,3.474199179007263,4.750322870233105,0.33887330463232873,0.077,0.577,0.036092144584562225,0.3758675257398253,1.9750018883196996,1.0,3.1277608276244724
85521837fffffff,34736.92791395982,88.76605552704602,8397.004805471868,0.0,0.05252201426732718,0.0,0.07747133139938968,17.056282536669062,5.017829290423676,0.7071859960716299,0.3323203500982092,0.07699999999999999,0.577,0.02566497949656982,0.27264497901005974,2.8293622819545483,1.0,3.941419765236824
8552183bfffffff,65353.97019879357,249.45377383497058,11129.667274097674,0.0,0.0,0.0,0.490736084753479,18.217987399744842,1.283809969872002,4.037645876057576,0.3557402409778814,0.077,0.577,0.038460626939373674,0.37363579123076873,1.6510237926300997,1.0,2.808368915460896
85521843fffffff,307289.2516926655,337.7957271775563,71291.19645022332,0.0,0.799482232916169,0.9408480937981423,0.0,16.285636912007586,0.7380909395559769,13.285636912007584,0.4,0.4030000000000001,0.562,0.02476181879111954,0.2711900033511575,0.5171436308799242,1.0,0.7069063523642886
85521847fffffff,124047.70210699798,1083.4442964710483,16033.146485259784,0.0,0.08966269144313341,0.36769799407992715,0.00953174461453965,12.581457270959563,0.3517660635252667,2.0902116009240053,0.3708789647540151,0.403,0.562,0.004199193769418288,0.1609719190181573,0.7518219178762545,1.0,1.1534040753672272
8552184bfffffff,354952.5673434094,250.268625452612,84544.05053794973,0.0,0.9889139645776973,0.9889139645776973,0.0038301507656214213,19.443632624772665,0.9135351458207036,17.567675729103517,0.4,0.38743632624772667,0.5626917188334345,0.032593945625378894,0.32334551062841005,0.47,1.0,0.6307515650030311
8552184ffffffff,185558.27866497112,400.17433090831344,28584.169355262584,0.0,0.4278189187182908,0.8220194250119365,0.11044162266258074,13.309089524673029,0.14096420637947085,5.247884590421318,0.3723199467643016,0.3731348456955509,0.5633273401913087,0.0432592029118284,0.3196327298723634,0.7834120286269352,0.9999999999999999,1.1023541956322604
85521853fffffff,300540.1967121608,260.311003657194,71516.142598778,0.0,0.8534837795194757,0.9844954370953194,0.0,19.135476987718572,0.7764096075184752,14.021920386318556,0.39087026797343044,0.40299999999999997,0.562,0.03846497515752018,0.34723759931408793,0.5145074445036668,0.9999999999999999,0.805307034768144
85521857fffffff,135355.5682629898,666.9403230583297,21277.061313857717,0.0,0.14407032798732017,0.5199575645472008,0.038200024341178286,10.008684554803803,0.0,1.7889494941244026,0.37043373809283425,0.403,0.562,0.019136676074002195,0.2551089107519936,0.82279945851251,1.0,1.110489944725614
