,h3_05,worldpop2023_sum,adj_at_least_one,adj_exposed_airpol15_pop,adj_exposed_heat32_pop,adj_exposed_drought20_pop,adj_exposed_flood5_pop
2013,8552f113fffffff,22016.2190714,21630.0,25169.0,0.0,0.0,21630.0
2014,8552f117fffffff,17876.094576033,19761.0,19763.0,0.0,0.0,19761.0
2015,8552f11bfffffff,72690.4724381,0.0,85384.0,0.0,0.0,0.0
2016,8552f123fffffff,17009.316147,19742.0,19742.0,19742.0,0.0,0.0
2017,8552f127fffffff,1318.7187010999999,1467.0,1467.0,1467.0,0.0,0.0
2018,8552f12bfffffff,5510.2555369,5401.0,5401.0,5401.0,0.0,0.0
2019,8552f12ffffffff,110963.735311,126491.0,126491.0,126491.0,0.0,0.0
2020,8552f133fffffff,11732.15864497,13388.0,13388.0,13388.0,0.0,0.0
2021,8552f137fffffff,3920.04086555,4249.0,4249.0,4249.0,0.0,0.0
2022,8552f13bfffffff,6010.4254366000005,6437.0,6437.0,6437.0,0.0,4547.0
2023,8552f143fffffff,42308.233427873,9066.0,44415.0,0.0,0.0,9066.0
2024,8552f147fffffff,34667.665563,7906.0,36987.0,7906.0,0.0,0.0
2025,8552f14bfffffff,12929.7110329,15309.0,15794.0,3006.0,0.0,12303.0
2026,8552f14ffffffff,13164.773666860001,5702.0,14323.0,5702.0,0.0,0.0
2027,8552f153fffffff,192182.75139699999,91260.0,209582.0,0.0,0.0,91260.0
2028,8552f157fffffff,64806.68959580001,0.0,75636.0,0.0,0.0,0.0
2029,8552f15bfffffff,66275.2726557,9350.0,82931.0,0.0,0.0,9350.0
2030,8552f163fffffff,1120.6305259,1165.0,1165.0,1165.0,0.0,0.0
2031,8552f167fffffff,3509.0673374000003,3689.0,3689.0,3689.0,0.0,0.0
2032,8552f16bfffffff,1556.7366303000001,1756.0,1756.0,1756.0,0.0,0.0
2033,8552f16ffffffff,4299.2492263,5224.0,5224.0,5224.0,0.0,0.0
2034,8552f173fffffff,17634.5562595,8129.0,20373.0,8129.0,0.0,0.0
2035,8552f177fffffff,3720.943381259,3932.0,3932.0,3932.0,0.0,0.0
2036,8552f17bfffffff,2272.0619931,2767.0,2767.0,2767.0,0.0,0.0
2037,8552f183fffffff,38566.3971587,31769.0,42513.0,0.0,0.0,31769.0
2038,8552f187fffffff,125697.540682,124393.0,141048.0,0.0,105286.0,19107.0
2039,8552f18bfffffff,29562.41487212,31500.0,31515.0,0.0,0.0,31500.0
2040,8552f18ffffffff,27587.056763,26091.0,30522.0,0.0,0.0,26091.0
2041,8552f193fffffff,41905.8913794,12139.0,44320.0,0.0,0.0,12139.0
2042,8552f197fffffff,103407.8188854,118063.0,118063.0,0.0,118063.0,38981.0
2043,8552f19bfffffff,104006.58880523,76982.0,116154.0,0.0,0.0,76982.0
2044,8552f1a3fffffff,63150.58592443,40595.0,76002.0,0.0,40595.0,0.0
2045,8552f1a7fffffff,17006.621528,0.0,18853.0,0.0,0.0,0.0
2046,8552f1abfffffff,13734.098864565,3391.0,14640.0,1634.0,1757.0,0.0
2047,8552f1affffffff,15687.380950499999,6219.0,18325.0,5053.0,1166.0,0.0
2048,8552f1b3fffffff,47475.3473,45817.0,57600.0,0.0,45817.0,0.0
2049,8552f1b7fffffff,30959.887408901,8717.0,33201.0,0.0,0.0,8717.0
2050,8552f1bbfffffff,34002.6011627,27523.0,38644.0,0.0,0.0,27523.0
2051,8552f1c3fffffff,98771.09017930001,51606.0,111248.0,0.0,51606.0,43261.0
2052,8552f1c7fffffff,30891.991626609997,33819.0,35251.0,0.0,7173.0,33819.0
2053,8552f1cbfffffff,191426.378348,8629.0,215071.0,0.0,0.0,8629.0
2054,8552f1cffffffff,165362.85773792,110544.0,192236.0,0.0,0.0,110544.0
2055,8552f1d3fffffff,197708.37194912002,195337.0,220052.0,0.0,19820.0,175517.0
2056,8552f1d7fffffff,95197.94797,49521.0,109170.0,0.0,0.0,49521.0
2057,8552f1dbfffffff,171448.313763,76380.0,187489.0,0.0,76380.0,0.0
2058,8552f313fffffff,1024.2504544,0.0,1194.0,0.0,0.0,0.0
2059,8552f317fffffff,3010.5365761000003,2439.0,3301.0,2439.0,0.0,0.0
2060,8552f383fffffff,4078.910989,4458.0,4458.0,4458.0,0.0,0.0
2061,8552f387fffffff,8247.871575,8955.0,8955.0,8955.0,0.0,0.0
2062,8552f38bfffffff,1742.5017066999999,1883.0,1883.0,1883.0,0.0,0.0
2063,8552f38ffffffff,1155.5802141,1326.0,1326.0,1326.0,0.0,0.0
2064,8552f393fffffff,9402.12188714,1793.0,10487.0,0.0,1793.0,0.0
2065,8552f397fffffff,14464.101449700001,3863.0,16087.0,3863.0,0.0,0.0
2066,8552f39bfffffff,3510.6358256000003,4000.0,4000.0,4000.0,0.0,0.0
2067,8552f3a3fffffff,1980.1654933,2317.0,2317.0,2317.0,0.0,0.0
2068,8552f3a7fffffff,2852.4700039,3071.0,3071.0,3071.0,0.0,0.0
2069,8552f3abfffffff,2439.5311063999998,2360.0,2538.0,2360.0,0.0,0.0
2070,8552f3affffffff,37.55498402,0.0,25.0,0.0,0.0,0.0
2071,8552f3b3fffffff,4581.621193,5460.0,5460.0,5460.0,0.0,0.0
2072,8552f3b7fffffff,747.8683445,833.0,833.0,833.0,0.0,0.0
2073,8552f3bbfffffff,2849.3999547000003,3141.0,3141.0,3141.0,0.0,0.0
2074,8552f3c3fffffff,4099.9766039,1538.0,5349.0,1538.0,0.0,0.0
2075,8552f3c7fffffff,,,,,,
2076,8552f3d3fffffff,555.8357253,617.0,617.0,617.0,0.0,0.0
2077,8552f3d7fffffff,3281.5083267500004,3549.0,3549.0,3549.0,0.0,0.0
2078,8552f3dbfffffff,1602.414623,1108.0,1108.0,1108.0,0.0,0.0
2079,8552f403fffffff,4039.968589,4327.0,4327.0,4327.0,4327.0,0.0
2080,8552f407fffffff,81702.64342000001,84958.0,84958.0,84958.0,51046.0,0.0
2081,8552f40bfffffff,22108.9379155,23855.0,23855.0,23855.0,18773.0,0.0
2082,8552f40ffffffff,64196.718532,72987.0,72987.0,72987.0,72987.0,0.0
2083,8552f413fffffff,5701.141261582,6340.0,6340.0,6340.0,3584.0,0.0
2084,8552f417fffffff,99132.56086000001,107148.0,107148.0,107148.0,92579.0,0.0
2085,8552f41bfffffff,4114.89788442,4166.0,4634.0,4166.0,0.0,0.0
2086,8552f423fffffff,89060.90742606,69546.0,98066.0,69546.0,55288.0,0.0
2087,8552f427fffffff,86158.87612,38596.0,93932.0,0.0,0.0,38596.0
2088,8552f42bfffffff,105125.27018692999,111546.0,111546.0,111546.0,111518.0,0.0
2089,8552f42ffffffff,55134.290913,32013.0,60838.0,32013.0,30337.0,23502.0
2090,8552f433fffffff,123657.664893555,137887.0,137887.0,119551.0,101398.0,0.0
2091,8552f437fffffff,71663.5656834,78957.0,82845.0,0.0,78957.0,78957.0
2092,8552f43bfffffff,161331.70578000002,172278.0,172278.0,172278.0,172278.0,0.0
2093,8552f44bfffffff,355.4480376,421.0,421.0,421.0,0.0,0.0
2094,8552f463fffffff,15180.6248592,16739.0,16739.0,16739.0,0.0,0.0
2095,8552f467fffffff,9996.860042,12381.0,12381.0,12381.0,0.0,0.0
2096,8552f46ffffffff,20479.240658400002,22206.0,22206.0,22206.0,0.0,0.0
2097,8552f473fffffff,35924.395369741,40074.0,40838.0,40074.0,6414.0,0.0
2098,8552f477fffffff,61848.045789,76961.0,76961.0,76961.0,73879.0,0.0
2099,8552f483fffffff,102089.87577330001,110860.0,110860.0,110860.0,33205.0,0.0
2100,8552f487fffffff,94726.93382199999,106638.0,106638.0,106638.0,338.0,0.0
2101,8552f48bfffffff,13574.80875709,14931.0,14931.0,14931.0,10093.0,0.0
2102,8552f48ffffffff,43049.913655185,51316.0,51316.0,51316.0,51316.0,0.0
2103,8552f493fffffff,15933.310100299997,16604.0,16604.0,16604.0,16232.0,0.0
2104,8552f497fffffff,106332.874706,116646.0,116646.0,116646.0,20569.0,0.0
2105,8552f49bfffffff,26959.8642792,30369.0,30369.0,30369.0,12427.0,0.0
2106,8552f4a3fffffff,91782.84952632099,91275.0,103402.0,2791.0,90891.0,0.0
2107,8552f4a7fffffff,127909.5053698,58754.0,139916.0,0.0,0.0,58754.0
2108,8552f4abfffffff,74393.90265999999,85113.0,85113.0,85113.0,44891.0,0.0
2109,8552f4affffffff,62167.87773,38850.0,69638.0,0.0,38850.0,0.0
2110,8552f4b3fffffff,81831.289259889,73196.0,88507.0,69052.0,49002.0,0.0
2111,8552f4b7fffffff,67689.0498764,26777.0,72825.0,0.0,26777.0,8534.0
2112,8552f4bbfffffff,116633.810979,129289.0,129289.0,129289.0,0.0,0.0
2113,8552f4c7fffffff,1308.01359332,1392.0,1394.0,1392.0,1392.0,0.0
2114,8552f4d7fffffff,186330.0910453,200385.0,200385.0,200385.0,1846.0,0.0
2115,8552f503fffffff,69380.7095991,34960.0,74075.0,0.0,0.0,34960.0
2116,8552f507fffffff,186586.421678,101214.0,212916.0,0.0,0.0,101214.0
2117,8552f50bfffffff,116302.4727409,119313.0,123653.0,0.0,0.0,119313.0
2118,8552f50ffffffff,67018.4712,26868.0,68502.0,0.0,26868.0,17259.0
2119,8552f513fffffff,36152.04701388,35343.0,36436.0,0.0,0.0,35343.0
2120,8552f517fffffff,37668.4587528,37891.0,40766.0,0.0,0.0,37891.0
2121,8552f51bfffffff,45665.801514000006,50507.0,50507.0,0.0,0.0,50507.0
2122,8552f523fffffff,68392.9954197,54727.0,75142.0,0.0,54727.0,46126.0
2123,8552f527fffffff,107244.625754,83455.0,117861.0,0.0,47510.0,83455.0
2124,8552f52bfffffff,97550.454447,79468.0,101729.0,0.0,43225.0,79468.0
2125,8552f52ffffffff,33434.9156799,20717.0,37148.0,0.0,0.0,20717.0
2126,8552f533fffffff,68846.36175441001,56690.0,77245.0,0.0,56690.0,55674.0
2127,8552f537fffffff,74551.984485569,64086.0,83654.0,0.0,57719.0,55018.0
2128,8552f53bfffffff,70336.9831158,81654.0,81654.0,0.0,81654.0,76052.0
2129,8552f543fffffff,62598.282973,58569.0,68985.0,0.0,0.0,58569.0
2130,8552f547fffffff,159754.8681882,143552.0,186451.0,0.0,0.0,143552.0
