h3_05,population_score,displacement_score,climate_score,conflict_score,food_nutrition_security_score,access_services_score,economic_activity_score
855259d3fffffff,0.04251931651245029,0.00056873455130332,0.6270464453632747,0.03658132894950216,0.08688824086528506,0.646030824857512,0.18915671735162676
855259d7fffffff,0.04328156673328928,0.0005510653829409247,0.622977047,0.0,0.091246559,0.6438837750232758,0.14106176094443212
855259dbfffffff,0.03544831649190906,0.000732642263545014,0.6647961437216875,0.37592734772618386,0.046458383611620156,0.6659478927794813,0.6353086874604555
85525a93fffffff,0.10296171187798767,0.0007398967022380244,0.626875237113194,0.05756064621714732,0.127318075,0.7362856470323921,0.9259619225076129
85525a97fffffff,0.07607040928494604,0.00041578331790769157,0.630063892,0.0010405885734713978,0.127318075,0.7336080343642685,0.9726699440405038
85525a9bfffffff,0.26371138455535137,0.0026773677585837773,0.607814233,0.3954238171993376,0.127318075,0.7522917649386713,0.6467527192032592
85525ad3fffffff,0.2637010147025489,0.0026772121418369055,0.6078165220559012,0.39542315510849824,0.12731807500000003,0.7522924522159945,0.6467425498260216
85525c03fffffff,0.014220520484953139,1.375404234943783e-05,0.647660622,0.0,0.0,0.7040917384723275,0.8557439382886546
85525c07fffffff,0.014220520484953139,1.375404234943783e-05,0.647660622,0.0,0.0,0.7040917384723275,0.8557439382886546
85525c0bfffffff,0.031558501460725905,0.00040501464524359866,0.6791320977915759,0.30908203985537325,0.05979656945913473,0.7000290605585097,0.751387411035601
85525c0ffffffff,0.027875370519916887,0.00048157789591718144,0.6592645150007912,0.24803189120781485,0.029550646304430182,0.6796520625595655,0.7189348606856492
85525c13fffffff,0.014220520484953139,1.375404234943783e-05,0.647660622,0.0,0.0,0.7040917384723275,0.8557439382886546
85525c17fffffff,0.014220520484953139,1.375404234943783e-05,0.647660622,0.0,0.0,0.7040917384723275,0.8557439382886546
85525c1bfffffff,0.025579452352727017,3.44518450294173e-05,0.6877315710102971,0.19569349573923947,0.06506379772631832,0.7327735886459682,0.867978384918442
85525c23fffffff,0.01758891217540141,0.0001291572856597742,0.6505230816140297,0.061184748215566284,0.007289582178079398,0.698062935442561,0.8219957419338143
85525c27fffffff,0.014949984325322878,3.874593782732933e-05,0.6482805204485308,0.013250258730879025,0.001578642598303331,0.7027861320538705,0.8484353794329955
85525c2bfffffff,0.03530226062982993,0.0007360278783298158,0.665575887,0.3829367488252599,0.04562328,0.6663592920889116,0.644524231290642
85525c2ffffffff,0.0346066432302223,0.0007121955834558369,0.6649847512604007,0.37030128972172077,0.04411788494356376,0.6676043195891885,0.6514936798427126
85525c33fffffff,0.014220520484953139,1.375404234943783e-05,0.647660622,0.0,0.0,0.7040917384723275,0.8557439382886546
85525c37fffffff,0.014220520484953139,1.375404234943783e-05,0.647660622,0.0,0.0,0.7040917384723275,0.8557439382886546
85525c3bfffffff,0.02297813138004289,0.00031379536587164224,0.655102840662891,0.15907657625015004,0.018952464609275986,0.6884172219819942,0.7680007067265777
85525c43fffffff,0.03644789407824307,5.42558957000437e-05,0.726072216,0.3829367488252599,0.127318075,0.7602169275814353,0.8796845357949188
85525c47fffffff,0.03603191431920579,0.00030180745370101536,0.7041059855316796,0.3829367488252599,0.09765467682864656,0.7261371993314717,0.7942977771084313
